date,home_team,away_team,home_score,away_score,competition,year,round,group,venue,pen_home,pen_away
1990-06-14,yugoslavia,colombia,1,0,世界杯1990小组赛 Group D,1990,Matchday 2,Group D,"Stadio Renato Dall'Ara, Bologna",,
1990-06-15,austria,czechoslovakia,0,1,世界杯1990小组赛 Group A,1990,Matchday 2,Group A,"Stadio Comunale, Florence",,
1990-06-15,west_germany,united_arab_emirates,5,1,世界杯1990小组赛 Group D,1990,Matchday 2,Group D,"San Siro, Milan",,
1990-06-16,brazil,costa_rica,1,0,世界杯1990小组赛 Group C,1990,Matchday 2,Group C,"Stadio Delle Alpi, Turin",,
1990-06-16,england,netherlands,0,0,世界杯1990小组赛 Group F,1990,Matchday 2,Group F,"Stadio Sant'Elia, Cagliari",,
1990-06-16,sweden,scotland,1,2,世界杯1990小组赛 Group C,1990,Matchday 2,Group C,"Stadio Luigi Ferraris, Genoa",,
1990-06-17,belgium,uruguay,3,1,世界杯1990小组赛 Group E,1990,Matchday 2,Group E,"Stadio Marc'Antonio Bentegodi, Verona",,
1990-06-17,ireland,egypt,0,0,世界杯1990小组赛 Group F,1990,Matchday 2,Group F,"Stadio La Favorita, Palermo",,
1990-06-17,south_korea,spain,1,3,世界杯1990小组赛 Group E,1990,Matchday 2,Group E,"Stadio Friuli, Udine",,
1990-06-18,argentina,romania,1,1,世界杯1990小组赛 Group B,1990,Matchday 3,Group B,"Stadio San Paolo, Naples",,
1990-06-18,cameroon,soviet_union,0,4,世界杯1990小组赛 Group B,1990,Matchday 3,Group B,"Stadio San Nicola, Bari",,
1990-06-19,austria,united_states,2,1,世界杯1990小组赛 Group A,1990,Matchday 3,Group A,"Stadio Comunale, Florence",,
1990-06-19,italy,czechoslovakia,2,0,世界杯1990小组赛 Group A,1990,Matchday 3,Group A,"Stadio Olimpico, Rome",,
1990-06-19,west_germany,colombia,1,1,世界杯1990小组赛 Group D,1990,Matchday 3,Group D,"San Siro, Milan",,
1990-06-19,yugoslavia,united_arab_emirates,4,1,世界杯1990小组赛 Group D,1990,Matchday 3,Group D,"Stadio Renato Dall'Ara, Bologna",,
1990-06-20,brazil,scotland,1,0,世界杯1990小组赛 Group C,1990,Matchday 3,Group C,"Stadio Delle Alpi, Turin",,
1990-06-20,sweden,costa_rica,1,2,世界杯1990小组赛 Group C,1990,Matchday 3,Group C,"Stadio Luigi Ferraris, Genoa",,
1990-06-21,belgium,spain,1,2,世界杯1990小组赛 Group E,1990,Matchday 3,Group E,"Stadio Marc'Antonio Bentegodi, Verona",,
1990-06-21,england,egypt,1,0,世界杯1990小组赛 Group F,1990,Matchday 3,Group F,"Stadio Sant'Elia, Cagliari",,
1990-06-21,ireland,netherlands,1,1,世界杯1990小组赛 Group F,1990,Matchday 3,Group F,"Stadio La Favorita, Palermo",,
1990-06-21,south_korea,uruguay,0,1,世界杯1990小组赛 Group E,1990,Matchday 3,Group E,"Stadio Friuli, Udine",,
1990-06-23,cameroon,colombia,0,0,世界杯1990十六强,1990,Round of 16,,"Stadio San Paolo, Naples",,
1990-06-23,czechoslovakia,costa_rica,4,1,世界杯1990十六强,1990,Round of 16,,"Stadio San Nicola, Bari",,
1990-06-24,brazil,argentina,0,1,世界杯1990十六强,1990,Round of 16,,"Stadio Delle Alpi, Turin",,
1990-06-24,west_germany,netherlands,2,1,世界杯1990十六强,1990,Round of 16,,"San Siro, Milan",,
1990-06-25,ireland,romania,0,0,世界杯1990十六强,1990,Round of 16,,"Stadio Luigi Ferraris, Genoa",5,4
1990-06-25,italy,uruguay,2,0,世界杯1990十六强,1990,Round of 16,,"Stadio Olimpico, Rome",,
1990-06-26,england,belgium,0,0,世界杯1990十六强,1990,Round of 16,,"Stadio Renato Dall'Ara, Bologna",,
1990-06-26,spain,yugoslavia,1,1,世界杯1990十六强,1990,Round of 16,,"Stadio Marc'Antonio Bentegodi, Verona",,
1990-06-30,italy,ireland,1,0,世界杯1990决赛,1990,Quarter-finals,,"Stadio Olimpico, Rome",,
1990-06-30,yugoslavia,argentina,0,0,世界杯1990决赛,1990,Quarter-finals,,"Stadio Artemio Franchi, Florence",2,3
1990-07-01,england,cameroon,2,2,世界杯1990决赛,1990,Quarter-finals,,"Stadio San Paolo, Naples",,
1990-07-01,west_germany,czechoslovakia,1,0,世界杯1990决赛,1990,Quarter-finals,,"San Siro, Milan",,
1990-07-03,italy,argentina,1,1,世界杯1990决赛,1990,Semi-finals,,"Stadio San Paolo, Naples",3,4
1990-07-04,west_germany,england,1,1,世界杯1990决赛,1990,Semi-finals,,"Stadio delle Alpi, Turin",4,3
1990-07-07,italy,england,2,1,世界杯1990季军赛,1990,Third place match,,"Stadio San Nicola, Bari",,
1990-07-08,west_germany,argentina,1,0,世界杯1990决赛,1990,Final,,"Stadio Olimpico, Rome",,
1994-06-17,germany,bolivia,1,0,世界杯1994小组赛 Group C,1994,Matchday 1,Group C,"Soldier Field, Chicago",,
1994-06-17,spain,south_korea,2,2,世界杯1994小组赛 Group C,1994,Matchday 1,Group C,"Cotton Bowl, Dallas",,
1994-06-18,colombia,romania,1,3,世界杯1994小组赛 Group A,1994,Matchday 1,Group A,"Rose Bowl, Pasadena",,
1994-06-18,italy,ireland,0,1,世界杯1994小组赛 Group E,1994,Matchday 1,Group E,"Giants Stadium, East Rutherford",,
1994-06-18,usa,switzerland,1,1,世界杯1994小组赛 Group A,1994,Matchday 1,Group A,"Pontiac Silverdome, Pontiac",,
1994-06-19,belgium,morocco,1,0,世界杯1994小组赛 Group F,1994,Matchday 1,Group F,"Citrus Bowl, Orlando",,
1994-06-19,cameroon,sweden,2,2,世界杯1994小组赛 Group B,1994,Matchday 1,Group B,"Rose Bowl, Pasadena",,
1994-06-19,norway,mexico,1,0,世界杯1994小组赛 Group E,1994,Matchday 1,Group E,"RFK Stadium, Washington",,
1994-06-20,brazil,russia,2,0,世界杯1994小组赛 Group B,1994,Matchday 1,Group B,"Stanford Stadium, Stanford",,
1994-06-20,netherlands,saudi_arabia,2,1,世界杯1994小组赛 Group F,1994,Matchday 1,Group F,"RFK Stadium, Washington",,
1994-06-21,argentina,greece,4,0,世界杯1994小组赛 Group D,1994,Matchday 1,Group D,"Foxboro Stadium, Foxborough",,
1994-06-21,germany,spain,1,1,世界杯1994小组赛 Group C,1994,Matchday 1,Group C,"Soldier Field, Chicago",,
1994-06-21,nigeria,bulgaria,3,0,世界杯1994小组赛 Group D,1994,Matchday 1,Group D,"Cotton Bowl, Dallas",,
1994-06-22,romania,switzerland,1,4,世界杯1994小组赛 Group A,1994,Matchday 2,Group A,"Pontiac Silverdome, Pontiac",,
1994-06-22,usa,colombia,2,1,世界杯1994小组赛 Group A,1994,Matchday 2,Group A,"Rose Bowl, Pasadena",,
1994-06-23,italy,norway,1,0,世界杯1994小组赛 Group E,1994,Matchday 2,Group E,"Giants Stadium, East Rutherford",,
1994-06-23,south_korea,bolivia,0,0,世界杯1994小组赛 Group C,1994,Matchday 2,Group C,"Foxboro Stadium, Foxborough",,
1994-06-24,brazil,cameroon,3,0,世界杯1994小组赛 Group B,1994,Matchday 2,Group B,"Stanford Stadium, Stanford",,
1994-06-24,mexico,ireland,2,1,世界杯1994小组赛 Group E,1994,Matchday 2,Group E,"Citrus Bowl, Orlando",,
1994-06-24,sweden,russia,3,1,世界杯1994小组赛 Group B,1994,Matchday 2,Group B,"Pontiac Silverdome, Pontiac",,
1994-06-25,argentina,nigeria,2,1,世界杯1994小组赛 Group D,1994,Matchday 2,Group D,"Foxboro Stadium, Foxborough",,
1994-06-25,belgium,netherlands,1,0,世界杯1994小组赛 Group F,1994,Matchday 2,Group F,"Citrus Bowl, Orlando",,
1994-06-25,saudi_arabia,morocco,2,1,世界杯1994小组赛 Group F,1994,Matchday 2,Group F,"Giants Stadium, East Rutherford",,
1994-06-26,greece,bulgaria,0,4,世界杯1994小组赛 Group D,1994,Matchday 2,Group D,"Soldier Field, Chicago",,
1994-06-26,switzerland,colombia,0,2,世界杯1994小组赛 Group A,1994,Matchday 2,Group A,"Stanford Stadium, Stanford",,
1994-06-26,usa,romania,0,1,世界杯1994小组赛 Group A,1994,Matchday 2,Group A,"Rose Bowl, Pasadena",,
1994-06-27,bolivia,spain,1,3,世界杯1994小组赛 Group C,1994,Matchday 3,Group C,"Soldier Field, Chicago",,
1994-06-27,germany,south_korea,3,2,世界杯1994小组赛 Group C,1994,Matchday 3,Group C,"Cotton Bowl, Dallas",,
1994-06-28,brazil,sweden,1,1,世界杯1994小组赛 Group B,1994,Matchday 3,Group B,"Pontiac Silverdome, Pontiac",,
1994-06-28,ireland,norway,0,0,世界杯1994小组赛 Group E,1994,Matchday 3,Group E,"Giants Stadium, East Rutherford",,
1994-06-28,italy,mexico,1,1,世界杯1994小组赛 Group E,1994,Matchday 3,Group E,"RFK Stadium, Washington",,
1994-06-28,russia,cameroon,6,1,世界杯1994小组赛 Group B,1994,Matchday 3,Group B,"Stanford Stadium, Stanford",,
1994-06-29,belgium,saudi_arabia,0,1,世界杯1994小组赛 Group F,1994,Matchday 3,Group F,"RFK Stadium, Washington",,
1994-06-29,morocco,netherlands,1,2,世界杯1994小组赛 Group F,1994,Matchday 3,Group F,"Citrus Bowl, Orlando",,
1994-06-30,argentina,bulgaria,0,2,世界杯1994小组赛 Group D,1994,Matchday 3,Group D,"Cotton Bowl, Dallas",,
1994-06-30,greece,nigeria,0,2,世界杯1994小组赛 Group D,1994,Matchday 3,Group D,"Foxboro Stadium, Foxborough",,
1994-07-02,germany,belgium,3,2,世界杯1994十六强,1994,Round of 16,,"Soldier Field, Chicago",,
1994-07-02,spain,switzerland,3,0,世界杯1994十六强,1994,Round of 16,,"RFK Stadium, Washington",,
1994-07-03,romania,argentina,3,2,世界杯1994十六强,1994,Round of 16,,"Rose Bowl, Pasadena",,
1994-07-03,saudi_arabia,sweden,1,3,世界杯1994十六强,1994,Round of 16,,"Cotton Bowl, Dallas",,
1994-07-04,brazil,usa,1,0,世界杯1994十六强,1994,Round of 16,,"Stanford Stadium, Stanford",,
1994-07-04,netherlands,ireland,2,0,世界杯1994十六强,1994,Round of 16,,"Citrus Bowl, Orlando",,
1994-07-05,mexico,bulgaria,1,1,世界杯1994十六强,1994,Round of 16,,"Giants Stadium, East Rutherford",1,3
1994-07-05,nigeria,italy,1,1,世界杯1994十六强,1994,Round of 16,,"Foxboro Stadium, Foxborough",,
1994-07-09,italy,spain,2,1,世界杯1994决赛,1994,Quarter-finals,,"Foxboro Stadium, Foxborough",,
1994-07-09,netherlands,brazil,2,3,世界杯1994决赛,1994,Quarter-finals,,"Cotton Bowl, Dallas",,
1994-07-10,bulgaria,germany,2,1,世界杯1994决赛,1994,Quarter-finals,,"Giants Stadium, East Rutherford",,
1994-07-10,romania,sweden,1,1,世界杯1994决赛,1994,Quarter-finals,,"Stanford Stadium, Stanford",4,5
1994-07-13,bulgaria,italy,1,2,世界杯1994决赛,1994,Semi-finals,,"Giants Stadium, East Rutherford",,
1994-07-13,sweden,brazil,0,1,世界杯1994决赛,1994,Semi-finals,,"Rose Bowl, Pasadena",,
1994-07-16,sweden,bulgaria,4,0,世界杯1994 Third-place match,1994,Third-place match,,"Rose Bowl, Pasadena",,
1994-07-17,brazil,italy,0,0,世界杯1994决赛,1994,Final,,"Rose Bowl, Pasadena",3,2
1998-06-10,brazil,scotland,2,1,世界杯1998小组赛 Group A,1998,Matchday 1,Group A,"Stade de France, Saint-Denis",,
1998-06-10,morocco,norway,2,2,世界杯1998小组赛 Group A,1998,Matchday 1,Group A,"Stade de la Mosson, Montpellier",,
1998-06-11,cameroon,austria,1,1,世界杯1998小组赛 Group B,1998,Matchday 1,Group B,"Stade de Toulouse, Toulouse",,
1998-06-11,italy,chile,2,2,世界杯1998小组赛 Group B,1998,Matchday 1,Group B,"Parc Lescure, Bordeaux",,
1998-06-12,france,south_africa,3,0,世界杯1998小组赛 Group C,1998,Matchday 1,Group C,"Stade Vélodrome, Marseille",,
1998-06-12,paraguay,bulgaria,0,0,世界杯1998小组赛 Group D,1998,Matchday 1,Group D,"Stade de la Mosson, Montpellier",,
1998-06-12,saudi_arabia,denmark,0,1,世界杯1998小组赛 Group C,1998,Matchday 1,Group C,"Stade Félix Bollaert, Lens",,
1998-06-13,netherlands,belgium,0,0,世界杯1998小组赛 Group E,1998,Matchday 1,Group E,"Stade de France, Saint-Denis",,
1998-06-13,south_korea,mexico,1,3,世界杯1998小组赛 Group E,1998,Matchday 1,Group E,"Stade Gerland, Lyon",,
1998-06-13,spain,nigeria,2,3,世界杯1998小组赛 Group D,1998,Matchday 1,Group D,"Stade de la Beaujoire, Nantes",,
1998-06-14,argentina,japan,1,0,世界杯1998小组赛 Group H,1998,Matchday 1,Group H,"Stade de Toulouse, Toulouse",,
1998-06-14,jamaica,croatia,1,3,世界杯1998小组赛 Group H,1998,Matchday 1,Group H,"Stade Félix Bollaert, Lens",,
1998-06-14,yugoslavia,iran,1,0,世界杯1998小组赛 Group F,1998,Matchday 1,Group F,"Stade Geoffroy-Guichard, Saint-Étienne",,
1998-06-15,england,tunisia,2,0,世界杯1998小组赛 Group G,1998,Matchday 1,Group G,"Stade Vélodrome, Marseille",,
1998-06-15,germany,usa,2,0,世界杯1998小组赛 Group F,1998,Matchday 1,Group F,"Parc des Princes, Paris",,
1998-06-15,romania,colombia,1,0,世界杯1998小组赛 Group G,1998,Matchday 1,Group G,"Stade Gerland, Lyon",,
1998-06-16,brazil,morocco,3,0,世界杯1998小组赛 Group A,1998,Matchday 2,Group A,"Stade de la Beaujoire, Nantes",,
1998-06-16,scotland,norway,1,1,世界杯1998小组赛 Group A,1998,Matchday 2,Group A,"Parc Lescure, Bordeaux",,
1998-06-17,chile,austria,1,1,世界杯1998小组赛 Group B,1998,Matchday 2,Group B,"Stade Geoffroy-Guichard, Saint-Étienne",,
1998-06-17,italy,cameroon,3,0,世界杯1998小组赛 Group B,1998,Matchday 2,Group B,"Stade de la Mosson, Montpellier",,
1998-06-18,france,saudi_arabia,4,0,世界杯1998小组赛 Group C,1998,Matchday 2,Group C,"Stade de France, Saint-Denis",,
1998-06-18,south_africa,denmark,1,1,世界杯1998小组赛 Group C,1998,Matchday 2,Group C,"Stade de Toulouse, Toulouse",,
1998-06-19,nigeria,bulgaria,1,0,世界杯1998小组赛 Group D,1998,Matchday 2,Group D,"Parc des Princes, Paris",,
1998-06-19,spain,paraguay,0,0,世界杯1998小组赛 Group D,1998,Matchday 2,Group D,"Stade Geoffroy-Guichard, Saint-Étienne",,
1998-06-20,belgium,mexico,2,2,世界杯1998小组赛 Group E,1998,Matchday 2,Group E,"Parc Lescure, Bordeaux",,
1998-06-20,japan,croatia,0,1,世界杯1998小组赛 Group H,1998,Matchday 2,Group H,"Stade de la Beaujoire, Nantes",,
1998-06-20,netherlands,south_korea,5,0,世界杯1998小组赛 Group E,1998,Matchday 2,Group E,"Stade Vélodrome, Marseille",,
1998-06-21,argentina,jamaica,5,0,世界杯1998小组赛 Group H,1998,Matchday 2,Group H,"Parc des Princes, Paris",,
1998-06-21,germany,yugoslavia,2,2,世界杯1998小组赛 Group F,1998,Matchday 2,Group F,"Stade Félix Bollaert, Lens",,
1998-06-21,usa,iran,1,2,世界杯1998小组赛 Group F,1998,Matchday 2,Group F,"Stade Gerland, Lyon",,
1998-06-22,colombia,tunisia,1,0,世界杯1998小组赛 Group G,1998,Matchday 2,Group G,"Stade de la Mosson, Montpellier",,
1998-06-22,romania,england,2,1,世界杯1998小组赛 Group G,1998,Matchday 2,Group G,"Stade de Toulouse, Toulouse",,
1998-06-23,brazil,norway,1,2,世界杯1998小组赛 Group A,1998,Matchday 3,Group A,"Stade Vélodrome, Marseille",,
1998-06-23,chile,cameroon,1,1,世界杯1998小组赛 Group B,1998,Matchday 3,Group B,"Stade de la Beaujoire, Nantes",,
1998-06-23,italy,austria,2,1,世界杯1998小组赛 Group B,1998,Matchday 3,Group B,"Stade de France, Saint-Denis",,
1998-06-23,scotland,morocco,0,3,世界杯1998小组赛 Group A,1998,Matchday 3,Group A,"Stade Geoffroy-Guichard, Saint-Étienne",,
1998-06-24,france,denmark,2,1,世界杯1998小组赛 Group C,1998,Matchday 3,Group C,"Stade Gerland, Lyon",,
1998-06-24,nigeria,paraguay,1,3,世界杯1998小组赛 Group D,1998,Matchday 3,Group D,"Stade de Toulouse, Toulouse",,
1998-06-24,south_africa,saudi_arabia,2,2,世界杯1998小组赛 Group C,1998,Matchday 3,Group C,"Parc Lescure, Bordeaux",,
1998-06-24,spain,bulgaria,6,1,世界杯1998小组赛 Group D,1998,Matchday 3,Group D,"Stade Félix Bollaert, Lens",,
1998-06-25,belgium,south_korea,1,1,世界杯1998小组赛 Group E,1998,Matchday 3,Group E,"Parc des Princes, Paris",,
1998-06-25,germany,iran,2,0,世界杯1998小组赛 Group F,1998,Matchday 3,Group F,"Stade de la Mosson, Montpellier",,
1998-06-25,netherlands,mexico,2,2,世界杯1998小组赛 Group E,1998,Matchday 3,Group E,"Stade Geoffroy-Guichard, Saint-Étienne",,
1998-06-25,usa,yugoslavia,0,1,世界杯1998小组赛 Group F,1998,Matchday 3,Group F,"Stade de la Beaujoire, Nantes",,
1998-06-26,argentina,croatia,1,0,世界杯1998小组赛 Group H,1998,Matchday 3,Group H,"Parc Lescure, Bordeaux",,
1998-06-26,colombia,england,0,2,世界杯1998小组赛 Group G,1998,Matchday 3,Group G,"Stade Félix Bollaert, Lens",,
1998-06-26,japan,jamaica,1,2,世界杯1998小组赛 Group H,1998,Matchday 3,Group H,"Stade Gerland, Lyon",,
1998-06-26,romania,tunisia,1,1,世界杯1998小组赛 Group G,1998,Matchday 3,Group G,"Stade de France, Saint-Denis",,
1998-06-27,brazil,chile,4,1,世界杯1998十六强,1998,Round of 16,,"Parc des Princes, Paris",,
1998-06-27,italy,norway,1,0,世界杯1998十六强,1998,Round of 16,,"Stade Vélodrome, Marseille",,
1998-06-28,france,paraguay,0,0,世界杯1998十六强,1998,Round of 16,,"Stade Félix Bollaert, Lens",,
1998-06-28,nigeria,denmark,1,4,世界杯1998十六强,1998,Round of 16,,"Stade de France, Saint-Denis",,
1998-06-29,germany,mexico,2,1,世界杯1998十六强,1998,Round of 16,,"Stade de la Mosson, Montpellier",,
1998-06-29,netherlands,yugoslavia,2,1,世界杯1998十六强,1998,Round of 16,,"Stade de Toulouse, Toulouse",,
1998-06-30,argentina,england,2,2,世界杯1998十六强,1998,Round of 16,,"Stade Geoffroy-Guichard, Saint-Étienne",4,3
1998-06-30,romania,croatia,0,1,世界杯1998十六强,1998,Round of 16,,"Parc Lescure, Bordeaux",,
1998-07-03,brazil,denmark,3,2,世界杯1998决赛,1998,Quarter-finals,,"Stade de la Beaujoire, Nantes",,
1998-07-03,italy,france,0,0,世界杯1998决赛,1998,Quarter-finals,,"Stade de France, Saint-Denis",3,4
1998-07-04,germany,croatia,0,3,世界杯1998决赛,1998,Quarter-finals,,"Stade Gerland, Lyon",,
1998-07-04,netherlands,argentina,2,1,世界杯1998决赛,1998,Quarter-finals,,"Stade Vélodrome, Marseille",,
1998-07-07,brazil,netherlands,1,1,世界杯1998决赛,1998,Semi-finals,,"Stade Vélodrome, Marseille",4,2
1998-07-08,france,croatia,2,1,世界杯1998决赛,1998,Semi-finals,,"Stade de France, Saint-Denis",,
1998-07-11,netherlands,croatia,1,2,世界杯1998季军赛,1998,Third place match,,"Parc des Princes, Paris",,
1998-07-12,brazil,france,0,3,世界杯1998决赛,1998,Final,,"Stade de France, Saint-Denis",,
2002-05-31,france,senegal,0,1,世界杯2002小组赛 Group A,2002,Matchday 1,Group A,"Seoul World Cup Stadium, Seoul",,
2002-06-01,germany,saudi_arabia,8,0,世界杯2002小组赛 Group E,2002,Matchday 1,Group E,"Sapporo Dome, Sapporo",,
2002-06-01,ireland,cameroon,1,1,世界杯2002小组赛 Group E,2002,Matchday 1,Group E,"Niigata Stadium, Niigata",,
2002-06-01,uruguay,denmark,1,2,世界杯2002小组赛 Group A,2002,Matchday 1,Group A,"Munsu Cup Stadium, Ulsan",,
2002-06-02,argentina,nigeria,1,0,世界杯2002小组赛 Group F,2002,Matchday 1,Group F,"Kashima Soccer Stadium, Ibaraki",,
2002-06-02,england,sweden,1,1,世界杯2002小组赛 Group F,2002,Matchday 1,Group F,"Saitama Stadium, Saitama",,
2002-06-02,paraguay,south_africa,2,2,世界杯2002小组赛 Group B,2002,Matchday 1,Group B,"Asiad Main Stadium, Busan",,
2002-06-02,spain,slovenia,3,1,世界杯2002小组赛 Group B,2002,Matchday 1,Group B,"Gwangju World Cup Stadium, Gwangju",,
2002-06-03,brazil,turkey,2,1,世界杯2002小组赛 Group C,2002,Matchday 1,Group C,"Munsu Cup Stadium, Ulsan",,
2002-06-03,croatia,mexico,0,1,世界杯2002小组赛 Group G,2002,Matchday 1,Group G,"Niigata Stadium, Niigata",,
2002-06-03,italy,ecuador,2,0,世界杯2002小组赛 Group G,2002,Matchday 1,Group G,"Sapporo Dome, Sapporo",,
2002-06-04,china,costa_rica,0,2,世界杯2002小组赛 Group C,2002,Matchday 1,Group C,"Gwangju World Cup Stadium, Gwangju",,
2002-06-04,japan,belgium,2,2,世界杯2002小组赛 Group H,2002,Matchday 1,Group H,"Saitama Stadium, Saitama",,
2002-06-04,south_korea,poland,2,0,世界杯2002小组赛 Group D,2002,Matchday 1,Group D,"Asiad Main Stadium, Busan",,
2002-06-05,germany,ireland,1,1,世界杯2002小组赛 Group E,2002,Matchday 1,Group E,"Kashima Soccer Stadium, Ibaraki",,
2002-06-05,russia,tunisia,2,0,世界杯2002小组赛 Group H,2002,Matchday 1,Group H,"Kobe Wing Stadium, Kobe",,
2002-06-05,usa,portugal,3,2,世界杯2002小组赛 Group D,2002,Matchday 1,Group D,"Suwon World Cup Stadium, Suwon",,
2002-06-06,cameroon,saudi_arabia,1,0,世界杯2002小组赛 Group E,2002,Matchday 2,Group E,"Saitama Stadium, Saitama",,
2002-06-06,denmark,senegal,1,1,世界杯2002小组赛 Group A,2002,Matchday 2,Group A,"Daegu World Cup Stadium, Daegu",,
2002-06-06,france,uruguay,0,0,世界杯2002小组赛 Group A,2002,Matchday 2,Group A,"Asiad Main Stadium, Busan",,
2002-06-07,argentina,england,0,1,世界杯2002小组赛 Group F,2002,Matchday 2,Group F,"Sapporo Dome, Sapporo",,
2002-06-07,spain,paraguay,3,1,世界杯2002小组赛 Group B,2002,Matchday 2,Group B,"Jeonju World Cup Stadium, Jeonju",,
2002-06-07,sweden,nigeria,2,1,世界杯2002小组赛 Group F,2002,Matchday 2,Group F,"Kobe Wing Stadium, Kobe",,
2002-06-08,brazil,china,4,0,世界杯2002小组赛 Group C,2002,Matchday 2,Group C,"Jeju World Cup Stadium, Jeju",,
2002-06-08,italy,croatia,1,2,世界杯2002小组赛 Group G,2002,Matchday 2,Group G,"Kashima Soccer Stadium, Ibaraki",,
2002-06-08,south_africa,slovenia,1,0,世界杯2002小组赛 Group B,2002,Matchday 2,Group B,"Daegu World Cup Stadium, Daegu",,
2002-06-09,costa_rica,turkey,1,1,世界杯2002小组赛 Group C,2002,Matchday 2,Group C,"Incheon Munhak Stadium, Incheon",,
2002-06-09,japan,russia,1,0,世界杯2002小组赛 Group H,2002,Matchday 2,Group H,"International Stadium Yokohama, Yokohama",,
2002-06-09,mexico,ecuador,2,1,世界杯2002小组赛 Group G,2002,Matchday 2,Group G,"Miyagi Stadium, Miyagi",,
2002-06-10,portugal,poland,4,0,世界杯2002小组赛 Group D,2002,Matchday 2,Group D,"Jeonju World Cup Stadium, Jeonju",,
2002-06-10,south_korea,usa,1,1,世界杯2002小组赛 Group D,2002,Matchday 2,Group D,"Daegu World Cup Stadium, Daegu",,
2002-06-10,tunisia,belgium,1,1,世界杯2002小组赛 Group H,2002,Matchday 2,Group H,"Ōita Stadium, Ōita",,
2002-06-11,cameroon,germany,0,2,世界杯2002小组赛 Group E,2002,Matchday 3,Group E,"Shizuoka Stadium, Shizuoka",,
2002-06-11,denmark,france,2,0,世界杯2002小组赛 Group A,2002,Matchday 3,Group A,"Incheon Munhak Stadium, Incheon",,
2002-06-11,saudi_arabia,ireland,0,3,世界杯2002小组赛 Group E,2002,Matchday 3,Group E,"International Stadium Yokohama, Yokohama",,
2002-06-11,senegal,uruguay,3,3,世界杯2002小组赛 Group A,2002,Matchday 3,Group A,"Suwon World Cup Stadium, Suwon",,
2002-06-12,nigeria,england,0,0,世界杯2002小组赛 Group F,2002,Matchday 3,Group F,"Nagai Stadium, Osaka",,
2002-06-12,slovenia,paraguay,1,3,世界杯2002小组赛 Group B,2002,Matchday 3,Group B,"Jeju World Cup Stadium, Jeju",,
2002-06-12,south_africa,spain,2,3,世界杯2002小组赛 Group B,2002,Matchday 3,Group B,"Daejeon World Cup Stadium, Daejeon",,
2002-06-12,sweden,argentina,1,1,世界杯2002小组赛 Group F,2002,Matchday 3,Group F,"Miyagi Stadium, Miyagi",,
2002-06-13,costa_rica,brazil,2,5,世界杯2002小组赛 Group C,2002,Matchday 3,Group C,"Suwon World Cup Stadium, Suwon",,
2002-06-13,ecuador,croatia,1,0,世界杯2002小组赛 Group G,2002,Matchday 3,Group G,"International Stadium Yokohama, Yokohama",,
2002-06-13,mexico,italy,1,1,世界杯2002小组赛 Group G,2002,Matchday 3,Group G,"Ōita Stadium, Ōita",,
2002-06-13,turkey,china,3,0,世界杯2002小组赛 Group C,2002,Matchday 3,Group C,"Seoul World Cup Stadium, Seoul",,
2002-06-14,belgium,russia,3,2,世界杯2002小组赛 Group H,2002,Matchday 3,Group H,"Shizuoka Stadium, Shizuoka",,
2002-06-14,poland,usa,3,1,世界杯2002小组赛 Group D,2002,Matchday 3,Group D,"Daejeon World Cup Stadium, Daejeon",,
2002-06-14,portugal,south_korea,0,1,世界杯2002小组赛 Group D,2002,Matchday 3,Group D,"Incheon Munhak Stadium, Incheon",,
2002-06-14,tunisia,japan,0,2,世界杯2002小组赛 Group H,2002,Matchday 3,Group H,"Nagai Stadium, Osaka",,
2002-06-15,denmark,england,0,3,世界杯2002十六强,2002,Round of 16,,"Niigata Stadium, Niigata",,
2002-06-15,germany,paraguay,1,0,世界杯2002十六强,2002,Round of 16,,"Jeju World Cup Stadium, Jeju",,
2002-06-16,spain,ireland,1,1,世界杯2002十六强,2002,Round of 16,,"Suwon World Cup Stadium, Suwon",3,2
2002-06-16,sweden,senegal,1,1,世界杯2002十六强,2002,Round of 16,,"Ōita Stadium, Ōita",,
2002-06-17,brazil,belgium,2,0,世界杯2002十六强,2002,Round of 16,,"Kobe Wing Stadium, Kobe",,
2002-06-17,mexico,usa,0,2,世界杯2002十六强,2002,Round of 16,,"Jeonju World Cup Stadium, Jeonju",,
2002-06-18,japan,turkey,0,1,世界杯2002十六强,2002,Round of 16,,"Miyagi Stadium, Miyagi",,
2002-06-18,south_korea,italy,1,1,世界杯2002十六强,2002,Round of 16,,"Daejeon World Cup Stadium, Daejeon",,
2002-06-21,england,brazil,1,2,世界杯2002决赛,2002,Quarter-finals,,"Shizuoka Stadium, Shizuoka",,
2002-06-21,germany,usa,1,0,世界杯2002决赛,2002,Quarter-finals,,"Munsu Cup Stadium, Ulsan",,
2002-06-22,senegal,turkey,0,0,世界杯2002决赛,2002,Quarter-finals,,"Nagai Stadium, Osaka",,
2002-06-22,spain,south_korea,0,0,世界杯2002决赛,2002,Quarter-finals,,"Gwangju World Cup Stadium, Gwangju",3,5
2002-06-25,germany,south_korea,1,0,世界杯2002决赛,2002,Semi-finals,,"Seoul World Cup Stadium, Seoul",,
2002-06-26,brazil,turkey,1,0,世界杯2002决赛,2002,Semi-finals,,"Saitama Stadium, Saitama",,
2002-06-29,south_korea,turkey,2,3,世界杯2002季军赛,2002,Third place play-off,,"Daegu World Cup Stadium, Daegu",,
