date,home_team,away_team,home_score,away_score,competition,year,round,group,venue,pen_home,pen_away
1978-06-03,netherlands,iran,3,0,世界杯1978小组赛 Group 4,1978,Matchday 1,Group 4,"Estadio Ciudad de Mendoza, Mendoza",,
1978-06-03,peru,scotland,3,1,世界杯1978小组赛 Group 4,1978,Matchday 1,Group 4,"Estadio Chateau Carreras, Córdoba",,
1978-06-06,argentina,france,2,1,世界杯1978小组赛 Group 1,1978,Matchday 2,Group 1,"Estadio Monumental, Buenos Aires",,
1978-06-06,italy,hungary,3,1,世界杯1978小组赛 Group 1,1978,Matchday 2,Group 1,"Estadio José María Minella, Mar del Plata",,
1978-06-06,poland,tunisia,1,0,世界杯1978小组赛 Group 2,1978,Matchday 2,Group 2,"Estadio Gigante de Arroyito, Rosario",,
1978-06-06,west_germany,mexico,6,0,世界杯1978小组赛 Group 2,1978,Matchday 2,Group 2,"Estadio Chateau Carreras, Córdoba",,
1978-06-07,austria,sweden,1,0,世界杯1978小组赛 Group 3,1978,Matchday 2,Group 3,"Estadio José Amalfitani, Buenos Aires",,
1978-06-07,brazil,spain,0,0,世界杯1978小组赛 Group 3,1978,Matchday 2,Group 3,"Estadio José Maria Minella, Mar del Plata",,
1978-06-07,netherlands,peru,0,0,世界杯1978小组赛 Group 4,1978,Matchday 2,Group 4,"Estadio Ciudad de Mendoza, Mendoza",,
1978-06-07,scotland,iran,1,1,世界杯1978小组赛 Group 4,1978,Matchday 2,Group 4,"Estadio Chateau Carreras, Córdoba",,
1978-06-10,argentina,italy,0,1,世界杯1978小组赛 Group 1,1978,Matchday 3,Group 1,"Estadio Monumental, Buenos Aires",,
1978-06-10,france,hungary,3,1,世界杯1978小组赛 Group 1,1978,Matchday 3,Group 1,"Estadio José María Minella, Mar del Plata",,
1978-06-10,poland,mexico,3,1,世界杯1978小组赛 Group 2,1978,Matchday 3,Group 2,"Estadio Gigante de Arroyito, Rosario",,
1978-06-10,west_germany,tunisia,0,0,世界杯1978小组赛 Group 2,1978,Matchday 3,Group 2,"Estadio Olímpico Chateau Carreras, Córdoba",,
1978-06-11,brazil,austria,1,0,世界杯1978小组赛 Group 3,1978,Matchday 3,Group 3,"Estadio José Maria Minella, Mar del Plata",,
1978-06-11,peru,iran,4,1,世界杯1978小组赛 Group 4,1978,Matchday 3,Group 4,"Estadio Chateau Carreras, Córdoba",,
1978-06-11,scotland,netherlands,3,2,世界杯1978小组赛 Group 4,1978,Matchday 3,Group 4,"Estadio Ciudad de Mendoza, Mendoza",,
1978-06-11,spain,sweden,1,0,世界杯1978小组赛 Group 3,1978,Matchday 3,Group 3,"Estadio José Amalfitani, Buenos Aires",,
1978-06-14,argentina,poland,2,0,世界杯1978小组赛 Group B,1978,Matchday 4,Group B,"Estadio Gigante de Arroyito, Rosario",,
1978-06-14,austria,netherlands,1,5,世界杯1978小组赛 Group A,1978,Matchday 4,Group A,"Estadio Chateau Carreras, Córdoba",,
1978-06-14,italy,west_germany,0,0,世界杯1978小组赛 Group A,1978,Matchday 4,Group A,"Estadio Monumental, Buenos Aires",,
1978-06-14,peru,brazil,0,3,世界杯1978小组赛 Group B,1978,Matchday 4,Group B,"Estadio Ciudad de Mendoza, Mendoza",,
1978-06-18,argentina,brazil,0,0,世界杯1978小组赛 Group B,1978,Matchday 5,Group B,"Estadio Gigante de Arroyito, Rosario",,
1978-06-18,italy,austria,1,0,世界杯1978小组赛 Group A,1978,Matchday 5,Group A,"Estadio Monumental, Buenos Aires",,
1978-06-18,netherlands,west_germany,2,2,世界杯1978小组赛 Group A,1978,Matchday 5,Group A,"Estadio Chateau Carreras, Córdoba",,
1978-06-18,peru,poland,0,1,世界杯1978小组赛 Group B,1978,Matchday 5,Group B,"Estadio Ciudad de Mendoza, Mendoza",,
1978-06-21,argentina,peru,6,0,世界杯1978小组赛 Group B,1978,Matchday 6,Group B,"Estadio Gigante de Arroyito, Rosario",,
1978-06-21,austria,west_germany,3,2,世界杯1978小组赛 Group A,1978,Matchday 6,Group A,"Estadio Chateau Carreras, Córdoba",,
1978-06-21,italy,netherlands,1,2,世界杯1978小组赛 Group A,1978,Matchday 6,Group A,"Estadio Monumental, Buenos Aires",,
1978-06-21,poland,brazil,1,3,世界杯1978小组赛 Group B,1978,Matchday 6,Group B,"Estadio Ciudad de Mendoza, Mendoza",,
1978-06-24,brazil,italy,2,1,世界杯1978季军赛,1978,Third place match,,"Estadio Monumental, Buenos Aires",,
1978-06-25,netherlands,argentina,1,1,世界杯1978决赛,1978,Final,,"Estadio Monumental, Buenos Aires",,
1982-06-13,argentina,belgium,0,1,世界杯1982小组赛 Group 3,1982,Matchday 1,Group 3,"Camp Nou, Barcelona",,
1982-06-14,brazil,soviet_union,2,1,世界杯1982小组赛 Group 6,1982,Matchday 1,Group 6,"Estadio Ramón Sánchez Pizjuán, Seville",,
1982-06-14,italy,poland,0,0,世界杯1982小组赛 Group 1,1982,Matchday 1,Group 1,"Balaídos, Vigo",,
1982-06-15,hungary,el_salvador,10,1,世界杯1982小组赛 Group 3,1982,Matchday 1,Group 3,"Nuevo Estadio, Elche",,
1982-06-15,peru,cameroon,0,0,世界杯1982小组赛 Group 1,1982,Matchday 1,Group 1,"Estadio de Riazor, A Coruña",,
1982-06-15,scotland,new_zealand,5,2,世界杯1982小组赛 Group 6,1982,Matchday 1,Group 6,"Estadio La Rosaleda, Málaga",,
1982-06-16,england,france,3,1,世界杯1982小组赛 Group 4,1982,Matchday 1,Group 4,"Estadio San Mamés, Bilbao",,
1982-06-16,spain,honduras,1,1,世界杯1982小组赛 Group 5,1982,Matchday 1,Group 5,"Estadio Luis Casanova, Valencia",,
1982-06-16,west_germany,algeria,1,2,世界杯1982小组赛 Group 2,1982,Matchday 1,Group 2,"El Molinón, Gijón",,
1982-06-17,chile,austria,0,1,世界杯1982小组赛 Group 2,1982,Matchday 1,Group 2,"Estadio Carlos Tartiere, Oviedo",,
1982-06-17,czechoslovakia,kuwait,1,1,世界杯1982小组赛 Group 4,1982,Matchday 1,Group 4,"Estadio José Zorrilla, Valladolid",,
